name,description,categories,vendor_name,total_installs,total_reviews,has_free_trial,is_paid,is_free,support_status,is_jira_service,link,pricing_cloud_1,pricing_cloud_2,pricing_server_1,pricing_server_2,pricing_server_3,pricing_server_4,pricing_server_5
Tempo Timesheets-Time Tracking & Reports,The #1 time management product in the Atlassian ecosystem since 2010,"Dashboard gadgets, Integrations, Reports, Time tracking",Tempo for JIRA,"25,311",446,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/6572/tempo-timesheets-time-tracking-reports?hosting=cloud&tab=overview,$10,$3,$100,"$1,000","$2,000","$4,000","$7,500"
Better PDF Exporter for Jira,"Customizable PDF export for Jira: issue lists, dashboards, timesheets, invoices, Release Notes, story cards & custom documents","Charts & diagramming, Documentation, Reports",Midori Global Consulting Kft.,"3,712",261,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/5167/better-pdf-exporter-for-jira?hosting=cloud&tab=overview,$2,$1.95,$10,$290,$590,"$1,290","$2,490"
Timesheet Reports and Gadgets,"Tempo’s entry-level time reporting app that extends Jira, capturing time spent on every project flow","Dashboard gadgets, Reports, Time tracking","Prime Timesheet, s.r.o","11,436",221,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/294/timesheet-reports-and-gadgets?hosting=cloud&tab=overview,$5,$0.6,$10,$150,$200,$400,$800
Structure.Gantt - Planning at Scale,"Visualize dependencies and timelines across large-scale projects with an adaptable, easy-to-use Gantt chart solution for Jira","Charts & diagramming, Dependency management",ALM Works,"3,160",17,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1217809/structure-gantt-planning-at-scale?hosting=cloud&tab=overview,$1,$0.6,$10,$300,$550,"$1,000","$1,800"
Timesheet tracking for Jira,Top 1 Trending time tracking app ! Powerful and easy to use timesheet reports based on users worklogs,"Charts & diagramming, Project management, Reports",TouchDown,"9,032",61,Get it now,,,SUPPORTED,,https://marketplace.atlassian.com/apps/1216988/timesheet-tracking-for-jira?hosting=cloud&tab=overview,,,$10,$250,$450,$750,"$1,500"
Agile Poker for Jira-planning&estimation,Top-rated app that supports Team Managers and Scrum Masters to facilitate accurate and convenient backlog estimations by the teams,"Project management, Tasks, Time tracking, Utilities",Spartez Software,"1,943",86,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/700473/agile-poker-for-jira-planning-estimation?hosting=cloud&tab=overview,$5,$2.5,$10,$450,$800,"$1,500","$3,000"
Planning Poker ®,Top Rated. Cloud Security Compliant. Planning Poker,"Continuous integration, Project management, Time tracking",Lizard Brain UG,"1,542",102,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1212495/planning-poker?hosting=cloud&tab=overview,$15,$1.5,$10,$325,$600,"$1,100","$2,200"
eazyBI Reports and Charts for Jira,"Custom Jira reports and charts. Visualize and analyze Jira, DevOps, popular apps, and more with Jira custom reporting & charts app","Charts & diagramming, Project management, Reports",eazyBI,,106,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1211051/eazybi-reports-and-charts-for-jira?hosting=datacenter&tab=overview,,,$100,$600,$900,"$1,400","$2,000"
Time Reports,"Flexible time tracking and reporting of time spent on Projects, Epics or Initiatives broken down by Days, Users or Issue Statuses","Dashboard gadgets, Reports, Time tracking","Prime Timesheet, s.r.o","5,404",104,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1212077/time-reports?hosting=cloud&tab=overview,$2.5,$0.3,$10,$75,$100,$200,$400
Better Excel Exporter for Jira,"Full-blown native Excel exports, spreadsheet reports and Business Intelligence for Jira","Charts & diagramming, Integrations, Reports, Time tracking",Midori Global Consulting Kft.,,142,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1212652/better-excel-exporter-for-jira?hosting=datacenter&tab=overview,,,$10,$290,$590,"$1,290","$2,490"
